,title,description,original_length,summarized_Length,summarized,summarized_length
0,Electricien d'exploitation (F/H),"Electricien d'exploitation (F/H)\nPour notre client leader Suisse dans son domaine, nous recherchons un/une Electricien d'exploitation (F/H) pour une activité proche de Payerne.\nElectricien d'exploitation (F/H)\nArticle 13 / OIBT / Broye\nVotre mission\nVous analysez et corrigez les défaillances électriques\nVous assurez la maintenance des nouvelles installations\nVous optimisez les installations de production et de l'infrastructure\nVous coopérez avec des experts externes pour la mise en place et la mise en service des nouvelles installations\nVous vous occupez du lieu de stockage du matériel électrique\nVotre profil\nVous possédez un CFC d'installateur-électricien ou équivalent et disposez d'une autorisation d'électricien d'exploitation, conformément à l'art. 13 OIBT\nVous disposez préférablement d'une bonne connaissance des techniques de mesure, de régulation et de contrôle.\nVous êtes ouvert à la formation continue\nVous parlez couramment le français\nVous êtes responsable, organisé, autonome, manuel et faites preuve d'esprit d'équipe\nDivers\nPermanence occasionnelle\nTravail à temps partiel possible\nVotre dossier sera traité en toute confidentialité. Si vous vous reconnaissez, nous vous prions de nous faire parvenir votre dossier complet.\nPersonne de contact : FAWER Lindsay | +41 26 309 25 14 | cv@synergiesuisse.ch\nPowered by TCPDF (ww.tcpdf.org)",1378,0,Electricien d'exploitation (F/H)nArticle 13 / OIBT / BroyenVotre missionnVous optimisez les installations de production et de l'infrastructuren You coopérez avec des experts externes pour la mise en place ethniquenYou occupez du lieu de stockage du matériel électriquen Votre profiln vous possédez un CFC d’installateur-électricien,331
1,Un(e) gestionnaire prévoyance professionnelle 2ème pilier / eine(n) Sachbearbeiter(in) für die beruf,"Afin de compléter notre équipe de l'agence CIEPP de Fribourg, nous recherchons\nUm unser Team zu vervollständigen, suchen wir für unsere Agentur der ZKBV in Freiburg\nUn(e) gestionnaire prévoyance professionnelle 2ème pilier / eine(n) Sachbearbeiter(in) für die berufliche Vorsorge / 2. Säule\nAfin de compléter notre équipe de l'agence CIEPP de Fribourg, nous recherchons\nUm unser Team zu vervollständigen, suchen wir für unsere Agentur der ZKBV in Freiburg\n- Für Deutsch siehe unten -\nProfil souhaité :\nCFC d'employé de commerce ou formation équivalente\nlangue maternelle française avec de bonnes connaissances de l'allemand\nâgé de 25 - 45 ans\npratique courante des outils informatiques\nsens des responsabilités, rigueur et autonomie\nesprit d'équipe\nconnaissances dans le domaine du 2ème pilier un atout\nNous offrons :\nemploi stable dans une équipe jeune et dynamique\nactivité variée, exigeante et passionnante\nconditions salariales et sociales attractives\nAnforderungen :\nKaufmännische Ausbildung oder gleichwertige Ausbildung\nMuttersprache französisch mit guten Deutschkenntnissen\n25 - 45 Jahre alt\nGute Informatikkenntnisse\nPflichtbewusst, zuverlässig und selbständiges Arbeiten\nTeamgeist\nBerufserfahrung in der 2. Säule ist ein Vorteil\nWir bieten :\nFixe Anstellung in einem jungen und dynamischen Team\nInteressante, abwechslungsreiche und anspruchsvolle Arbeit\nAttraktive Lohn- und Sozialleistungen",1430,0,"SäulenAfin de compléter notre équipe de l'agence CIEPP de Fribourg, nous recherchonsnUm unser Team zu vervollständigen, suchen wir für unsere Agentur der ZKBV in Freiburgn- Für Deutsch siehe unten -nProfil souhaité.",215
2,Business Analyst SAP,"Business Analyst SAP\nThe company\nUNIVERSO, leader européen de la production d'aiguilles de montres et fabricant d'appliques de cadrans, continue son expansion depuis plus de 100 ans, grâce à l'expertise de ses collaboratrices et collaborateurs passionnés. Afin de renforcer notre équipe, nous sommes à la recherche d'un Business Analyst SAP\nJob description\nConseiller les différents services opérationnels dans l'amélioration de leur structure (mise en place ou modification de procédures, gestion du flux d'information, etc.) Analyser les besoins spécifiques de l'entreprise afin d'optimiser les méthodes de gestion et d'accroître sa performance organisationnelle Conduire le change management suite aux modifications du système d'information et accompagnez les opérationnels dans l'application de ces actions sur le terrain Etre en charge de la formation continue, de la documentation et du support auprès des key-user SAP Entreprendre les modifications de configuration du système SAP Supporter les utilisateurs pour la mise à jour en masse des données\nProfile\nTitre d'informaticien de gestion HES ou jugé équivalent Expérience en logistique et supply chain management Très bonnes connaissances en planification de production, dans l'industrie horlogère ou en industrie de production multi niveau Expérience réussie en gestion de projet d'intégration SAP et processus de change management Maîtriser SAP - pour les transactions de paramétrages tels que SPRO SE16 LSMW etc. Vous avez une connaissance d'au moins deux des modules suivant : MM, PP, QM, SD, PM, HR-PT.\nProfessional requirements\nLanguages\nCompany address\nLa Chaux-de-Fonds\nContact\nSi cette fonction vous intéresse, nous vous remercions de nous faire parvenir votre dossier de candidature complet à : UNIVERSO SA Ressources Humaines Rue Louis Chevrolet 43 CH-2301 La Chaux-de-Fonds RH@universo.ch",1871,0,"business analyst SAPnThe companynUNIVERSO continue son expansion depuis plus de 100 ans, grâce à l'expertise de ses collaborateurs passionnés. analyser les différents services opérationnels afin d'optimiser les méthodes de gestion.",231
3,Java Software Engineers,"Java Software Engineers\nJAVA SOFTWARE ENGINEERS\nSoftwareEngineersatSICPAarethebackboneofourstrategicinitiativestodesign,code,testandprovideindustry-leading solutions to make the world more secure and build an economy of trust. Whether you are working on new solutions and prototypesorimplementingourcoresolutionstoourclients,softwaredevelopmentiscriticaltothesuccessofourprojects worldwide.\nAt SICPA, you will work with a strong team of engineers passionate about breeding the best ideas and using state-of-theart software technologies (such as Kafka, gRPC, Spring Boot, RxJava) and software engineering practices to deliver innovativesoftwaresolutions.\nROLE:\nArchitect, design and deliver either our next generation platform as a service, or server-side components in a microservice-based software framework\nParticipate in technical and functional roadmap definition of software applications/platform features and related services.\nDefine architectural patterns to be used by application development teams to efficiently exploit platform services.\nEnsure optimal integration of other layers (UI, hardware devices, cloud services).\nApply state-of-the-art automated testing practices (unit, component, integration, acceptance tests).\nApply best software engineering practices (testing, documentation, code review etc.).\nApply agile methodologies throughout the development process.\nPROFILE:\nBachelor/Master degree in Computer Science or related field.\nDemonstrated experience in Java, experience with functional or reactive programming a plus.\nSkilled in automated unit & system testing (incl. performance testing) and relational databases (PostgreSQL & Oracle).\nFamiliar with the Linux environment, including shell scripting and software packaging.\nExperience in the following technologies/areas a plus: container technologies (Docker), data processing technologies\n(Spark or Hadoop), distributed streaming platforms (Kafka), cluster management technologies (Kubernetes), agile methodologies.\nTeam player, proactive, autonomous, trustworthy and result-oriented.\nFluent in English. French and other languages are an asset.\nJOIN US !\nYou will be part of an Agile multidisciplinary team where you will influence both product and technical decisions on a dayto-day basis. At SICPA, we believe in full end to end ownership of results and empower our teams to drive their own decisions for the benefit of the customer and our business, iterating fast to continuously learn and improve.",2501,0,you will work with a strong team of engineers passionate about breeding the best ideas and using state-of-the-art software technologies. you will be part of an Agile multidisciplinary team where you will influence both product and technical decisions on a dayto-day basis.,272
4,Technicien/ne de maintenance en ascenseurs bilingue,"Technicien/ne de maintenance en ascenseurs bilingue\nEntreprise familiale depuis plus de 90 ans ; Ascenseurs Menétrey SA compte aujourd'hui 130 collaborateurs qui conçoivent, fabriquent, installent et entretiennent vos installations. Notre défi quotidien : construire des ascenseurs sur-mesure et qui répondent aux besoins réels de nos clients.\nAfin de compléter notre équipe, nous recherchons pour notre département service aprèsvente un/une:\nTechnicien/ne de maintenance en ascenseurs bilingue\nRégion Fribourg/Berne\nVos tâches :\nEntretenir et assurer le dépannage d'un réseau d'installations\nEtre l'acteur important de la vie de nos installations et, de par votre sens du contact, faire le lien entre le client et l'entreprise\nSuivre les plans de maintenance et assurer les performances de nos installations\nAssurer le service de piquet chaque 6 semaines.\nVotre profil :\n- Vous êtes titulaire d'un CFC de mécanicien automobiles ou agricoles, automaticien et/ou électricien\nVous disposez d'une expérience professionnelle d'au moins 5 ans dans une fonction similaire\nUne expérience dans le milieu des ascenseurs serait un grand atout\nVous résidez entre Fribourg et Berne\nVous êtes bilingue français/allemand\nVous êtes en possession d'un permis de conduire\nDe nature entreprenante et sympathique, vous vous organisez facilement et savez travailler de manière autonome\nVous communiquez avec aisance et êtes à l'écoute des besoins de nos clients\nVous fonctionnez par l'anticipation et la planification.\nNous offrons un cadre professionnel favorisant le maintien et le développement de votre efficacité professionnelle, des possibilités d'évolution et d'épanouissement au sein du département SAV.\nSi votre profil correspond à notre recherche et que nous avons suscité votre intérêt ; n'hésitez pas à nous soumettre votre candidature électronique à l'attention de Mme Alessandra Bruno à l'adresse abruno@menetrey-lift.ch ou par courrier à la Route de la Condémine 10, 1680 Romont. Tél : 026/651 90 70.",2016,0,"ascenseurs menétrey SA compte aujourd'hui 130 collaborateurs qui conçoivent, fabriquent, installent et entretiennent vos installations. n'hésitez pas à nous soumettre votre candidature électronique à l'attention de Mme Alessandra Bruno.",236
5,Automaticien H/F,"Automaticien H/F\nL'un de nos clients, une entreprise de pointe de la région biennoise, active dans la production et le développement de machines-outils destinées au monde horloger, cherche pour renforcer son équipe un/e :\nProgrammeur en automation H/F\nVotre mission:\nDévelopper des lignes et équipements automatisés\nDépanner et effectuer la maintenance des lignes d'assemblage des clients\nProgrammer les commandes machines\nGénérer et modifier des schémas électriques\nParticiper à l'établissement de la documentation clients\nCollaborer aux projets internes dans l'optique de formation continue\nVotre profil:\nCFC d'automaticien et expérience professionnelle confirmée en milieu industriel\nVous avez d'excellentes connaissances en programmation\nAutonome, vous êtes toutefois apte à vous intégrer dans un team existant\nVolontaire, ouvert d'esprit et excellent communicateur\nLangue maternelle française ou allemande avec maitrise de l'autre langue\nNous vous offrons:\nDes prestations sociales de premier ordre, une activité intéressante et variée sur des produits au top de la technologie, un cadre de travail moderne et agréablement situé.\nVous recherchez un challenge intéressant dans le monde passionnant de l'horlogerie et votre profil correspond aux critères demandés? N'attendez plus et faites nous\nparvenir de suite votre dossier de postulation complet en cliquant sur POSTULER\n032 321 10 10 - www.okjob.ch",1427,0,"Automaticien H/FnL'un de nos clients, une entreprise de pointe de la région biennoise, active dans la production et le développement de machines-outils destinées au monde horloger, cherche pour renforcer son équipe un/e:nProgrammeur les commandes machinesnGénérer & modifier des schémas électriquesnParticiper à l'établissement de la documentation clientsnCollaborer aux projets internes",387
6,Décolleteur CNC,"Décolleteur CNC\nNotre client est une société biennoise à la pointe de la technologie et active dans la production de micros composants horlogers. Afin de compléter son équipe en place, il nous a confié le recrutement du profil suivant :\nDécolleteur CNC\nVotre mission:\nVous êtes en charge du réglage de machines de type CITIZEN\nVous assurez le suivi de production\nVous veillez à la qualité de la production\nVous participez à l'amélioration des process d'usinage\nVotre profil:\nVous avez terminé une formation dans le décolletage ou la micromécanique et pouvez justifier d'une expérience confirmée dans ce domaine. Vos excellentes connaissances vous permettent de participer au développement de nouveaux produits, tout en assurant leur production et en veillant à la qualité des pièces décolletées. Votre flexibilité et votre autonomie sont des qualités que vous exploitez et vous travaillez facilement en team.\nIntéressé?\nDans ce cas nous nous réjouissons d'avance de la réception de votre dossier complet. Merci de transmettre votre candidature à OK JOB, Frédéric Maugeon, Rue de la Gare 6, 2501 Bienne.\n032 321 10 10 - www.okjob.ch",1143,0,Décolleteur CNCnNotre client est une société biennoise à la pointe de la technologie et active dans la production de micros composants horlogers. il nous a confié le recrutement du profil suivant :nDécolleteur CNC Votre mission: nYou êtes en charge du réglage de machines de type CITIZENnVous avez terminé une formation dans le décolletage ou la micromécanique ,361
7,Mécanicien CNC H/F,"Notre client est une société biennoise à la pointe de la technologie et active dans la production de composants horlogers. Afin de compléter son équipe en place, il nous a confié le recrutement du spécialiste suivant :\nMécanicien CNC H/F\nNotre client est une société biennoise à la pointe de la technologie et active dans la production de composants horlogers. Afin de compléter son équipe en place, il nous a confié le recrutement du spécialiste suivant :\nVotre mission:\nDans le cadre de cet emploi, vous êtes en charge de la programmation, du réglage et assurez le bon fonctionnement des centres d’usinage. Vous êtes en charge de la production de prototypes ainsi que de grandes séries tout en veillant sur la production. Vous collaborez avec le contrôle qualité et optimisez les processus d’usinage, afin de garantir une production optimale.\nVotre profil:\nVous possédez une formation de base technique en tant que polymécanicien ou équivalent\nVous maîtrisez la programmation de centres d’usinage de dernière génération et avez de bonnes connaissances en FAO\nVous êtes à travailler de manière indépendante et avez un bon esprit d'équipe\nVous parlez français ou allemand avec de bonnes connaissances de l'autre langue\nDomicilié au maximum à 45 minutes de Bienne\nIntéressé?\nDans ce cas nous nous réjouissons d'avance de la réception de votre dossier complet. Merci de transmettre votre candidature à OK JOB, Frédéric Maugeon, en cliquant sur “Postuler”.",1465,0,"Notre client est une société biennoise à la pointe de la technologie et active dans la production de composants horlogers. Afin de compléter son équipe en place, il nous a confié le recrutement du spécialiste suivant :nMécanicien CNC H/FnNotre client is a société biennale. you êtes en charge de la production of prototypes and de grandes séries tout en veillant sur la production ",381
8,Mécanicien Régleur CNC,"Mécanicien Régleur CNC\nL'un de nos clients, une entreprise du jura bernois active dans le développement de systèmes automatisés, cherche de manière temporaire pour renforcer son équipe un/e :\nRégleur CNC H/F\nVotre mission:\nVous êtes en charge de la préparation du travail et des mises en train de machines de transfert CNC. Vous garantissez le suivi de production de composants horlogers tout en contrôlant la qualité des composants produits à l'aide d'outils de contrôle sophistiqués.\nVotre profil:\nVous avez effectué un CFC de mécanicien de précision ou équivalent\nVous avez de bonnes connaissances de la programmation et du réglage sur machines CNC\nVous avez idéalement de l'expérience dans l'usinage de composants horlogers\nVous êtes autonome, précis, polyvalent et curieux\nIntéressé(e)?\nDans ce cas Frédéric Maugeon se réjouit à l'avance de la réception de votre dossier complet. Merci de transmettre votre candidature en cliquant sur ""Postuler""\n032 321 10 10 - www.okjob.ch",991,0,"Mécanicien Régleur CNCnL'un de nos clients, une entreprise du jura bernois active dans le développement de systèmes automatisés, cherche de façon temporaire pour renforcer son équipe un/e:nRégleur H/FnVotre mission: nVous êtes en charge de la préparation du travail et des mises en train de machines de transfert CNC.",317
9,HR & Payroll Officer,"This role is the perfect opportunity for an individual looking to take the next step up in their Payroll career.\nHR & Payroll Officer\nThis role is the perfect opportunity for an individual looking to take the next step up in their Payroll career.\nAbout TMF\nIn an environment of ever increasing globalization we provide professional services in 80+ countries to help our clients operate across borders. Whether entering a new market or driving in country growth we ensure they stay focused on their core business, taking the stress away from their accounting, legal and HR responsibilities.\nWe are embarking on an ambitious growth plan which will be achieved through strong organic growth, the entrance to new markets and completion of acquisitions. This provides a truly dynamic work environment to build a successful career and see a tangible impact from the work that you complete.\nAbout the role\nThis role is a perfect opportunity for an individual looking to take the next step up in their payroll career. The HR & Payroll Officer will report to the Payroll Team Leader and will join our friendly and professional team of payroll experts in Geneva to support a portfolio of varied clients. This individual will perform a variety of payroll activities:\nPrepare monthly payroll for clients\nEnsure HR requests from clients are dealt with\nElaboration of periodic payroll reporting (pay slip, monthly summaries, accounting vouchers)\nPerform all year-end closing related tasks\nManagement of client relations for a portfolio of client entities\nManagement of payroll associated tasks (tax, social securities, other insurances) and liaise with third parties\nEnsure payroll related audits are conducted smoothly\nApply TMF policies as set down in payroll procedures\nProvide assistance to Accounting section for specific payroll issues\nControl (4 eyes check) and backup of an additional portfolio of client´s entities\nTechnical research on specific payroll issues\nSetting up new payroll clients (whole process)\nProvide a work status' feedback to the supervisor on a regular basis\nAbout you\nWe are looking for customer focussed individuals looking for that next step in their Payroll career.\nKey Requirements:\nCommercial CFC, Professional Maturity\nSwiss HR Certificate / Diploma would be a high advantage\nGood knowledge of Swiss payroll regulations\nMinimum 2 years experience in Payroll processing (preferably in international environment in business process outsourcing company) or minimum 1 year experience if in a Fiduciary\nAbility to work effectively in a multicultural team\nStrong client focus, excellent service delivery\nReliable and discreet personality with a highly flexible approach\nAttentive to details\nStrong communcation skills\nFluent in English, German and French. Any other language would be a high advantage\nWorking at TMF Group offers\nLearning opportunities: you will work with highly experienced colleagues who are ready to share their knowledge, and will receive the opportunity to work on diverse and complex client requests. You will also be able to apply for and be supported for training.\nValue-driven work environment: you can expect integrity and respect from all your colleagues and your leadership team.\nTeamwork: an environment where we learn from our mistakes and work together to improve our processes continuously. A no-blame culture where teamwork is important, valued and lived daily.\nAmbition: we are a growing company in which we constantly look for the next opportunity and where all ideas are welcome.",3567,0,role is perfect opportunity for an individual looking to take the next step up in their Payroll career. HR & Payroll Officer will report to the Payroll Team Leader and join our friendly and professional team of payroll experts in Geneva.,237
